job_key,url,company,title,first_seen_date,last_seen_date
gsk,,GSK,,2026-03-11,2026-03-11
https://accounts.google.com/servicelogin?passive=1209600&continue=https://www.google.com/about/careers/applications/&followup=https://www.google.com/about/careers/applications/&ec=gaza6qe | google | sign in,https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://www.google.com/about/careers/applications/&followup=https://www.google.com/about/careers/applications/&ec=GAZA6QE,Google,Sign in,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/algeria---algiers/medical-reps_r-011750 | astrazeneca | medical reps,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Algeria---Algiers/Medical-Reps_R-011750,AstraZeneca,Medical Reps,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/algeria---tizi-ouzou/medical-reps_r-014420 | astrazeneca | medical reps,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Algeria---Tizi-Ouzou/Medical-Reps_R-014420,AstraZeneca,Medical Reps,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/argentina---ciudad-autonoma/diagnostics-science-liason-oncology_r-245528 | astrazeneca | diagnostics science liason oncology,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Argentina---Ciudad-Autonoma/Diagnostics-Science-Liason-Oncology_R-245528,AstraZeneca,Diagnostics Science Liason Oncology,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/argentina---ciudad-autonoma/medical-science-liaison---rare-diseases----neurologa-_r-246378 | astrazeneca | medical science liaison ( rare diseases) ( neurología),https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Argentina---Ciudad-Autonoma/Medical-Science-Liaison---Rare-Diseases----Neurologa-_R-246378,AstraZeneca,Medical Science Liaison ( Rare Diseases) ( Neurología),2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/argentina---ciudad-autonoma/medical-science-liaison--msl--cvrm_r-245527 | astrazeneca | medical science liaison (msl) cvrm,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Argentina---Ciudad-Autonoma/Medical-Science-Liaison--MSL--CVRM_R-245527,AstraZeneca,Medical Science Liaison (MSL) CVRM,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/argentina---ciudad-autonoma/oncology-sales-manager_r-244858 | astrazeneca | oncology sales manager,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Argentina---Ciudad-Autonoma/Oncology-Sales-Manager_R-244858,AstraZeneca,Oncology Sales Manager,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/argentina---ciudad-autonoma/sales-representative-oncology---mama-_r-244859 | astrazeneca | sales representative oncology ( mama),https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Argentina---Ciudad-Autonoma/Sales-Representative-Oncology---mama-_R-244859,AstraZeneca,Sales Representative Oncology ( mama),2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/argentina---ciudad-autonoma/south-cone-country-president-assistant_r-246437-1 | astrazeneca | south cone country president assistant,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Argentina---Ciudad-Autonoma/South-Cone-Country-President-Assistant_R-246437-1,AstraZeneca,South Cone Country President Assistant,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/argentina---ciudad-autonoma/strategic-account-manager-jr_r-247208 | astrazeneca | strategic account manager jr,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Argentina---Ciudad-Autonoma/Strategic-Account-Manager-Jr_R-247208,AstraZeneca,Strategic Account Manager Jr,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/argentina---cordoba/sales-representative-oncology---crdoba-_r-236171 | astrazeneca | sales representative oncology ( córdoba),https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Argentina---Cordoba/Sales-Representative-Oncology---Crdoba-_R-236171,AstraZeneca,Sales Representative Oncology ( Córdoba),2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/australia--new-south-wales/associate-brand-manager_r-247291-1 | astrazeneca | associate brand manager,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Australia--New-South-Wales/Associate-Brand-Manager_R-247291-1,AstraZeneca,Associate Brand Manager,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/australia--new-south-wales/associate-director---territory-operations-management--cell-therapy-_r-243808 | astrazeneca | territory operations manager - cell therapy,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Australia--New-South-Wales/Associate-Director---Territory-Operations-Management--Cell-Therapy-_R-243808,AstraZeneca,Territory Operations Manager - Cell Therapy,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/australia--new-south-wales/associate-director-clinical-quality--cell-therapy-_r-241588 | astrazeneca | associate director clinical quality (cell therapy),https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Australia--New-South-Wales/Associate-Director-Clinical-Quality--Cell-Therapy-_R-241588,AstraZeneca,Associate Director Clinical Quality (Cell Therapy),2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/australia--new-south-wales/clinical-research-associate---multiple-roles_r-246417-2 | astrazeneca | clinical research associate - multiple roles,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Australia--New-South-Wales/Clinical-Research-Associate---Multiple-Roles_R-246417-2,AstraZeneca,Clinical Research Associate - Multiple Roles,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/australia--new-south-wales/clinical-study-contract-manager_r-244164-1 | astrazeneca | clinical study contract manager,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Australia--New-South-Wales/Clinical-Study-Contract-Manager_R-244164-1,AstraZeneca,Clinical Study Contract Manager,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/australia--new-south-wales/commercial-operations-administrator_r-245207 | astrazeneca | commercial operations administrator,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Australia--New-South-Wales/Commercial-Operations-Administrator_R-245207,AstraZeneca,Commercial Operations Administrator,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/australia--new-south-wales/gp-representative---brisbane-west_r-244300-1 | astrazeneca | gp sales representative - brisbane west,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Australia--New-South-Wales/GP-Representative---Brisbane-West_R-244300-1,AstraZeneca,GP Sales Representative - Brisbane West,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/australia--new-south-wales/gp-sales-representative---nsw-east_r-240389 | astrazeneca | gp sales representative - nsw east,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Australia--New-South-Wales/GP-Sales-Representative---NSW-East_R-240389,AstraZeneca,GP Sales Representative - NSW East,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/australia--new-south-wales/gp-sales-representative---penrith_r-243732-1 | astrazeneca | gp sales representative - penrith,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Australia--New-South-Wales/GP-Sales-Representative---Penrith_R-243732-1,AstraZeneca,GP Sales Representative - Penrith,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/australia--new-south-wales/gp-sales-representative---south-adelaide_r-243743 | astrazeneca | gp sales representative - south adelaide,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Australia--New-South-Wales/GP-Sales-Representative---South-Adelaide_R-243743,AstraZeneca,GP Sales Representative - South Adelaide,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/australia--new-south-wales/gp-sales-representative_r-247460 | astrazeneca | gp sales representative,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Australia--New-South-Wales/GP-Sales-Representative_R-247460,AstraZeneca,GP Sales Representative,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/australia--new-south-wales/microbiologist_r-247383 | astrazeneca | microbiologist,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Australia--New-South-Wales/Microbiologist_R-247383,AstraZeneca,Microbiologist,2026-03-11,2026-03-11
https://astrazeneca.wd3.myworkdayjobs.com/en-us/careers/job/australia--new-south-wales/oncology-business-manager---qld-south_r-246808 | astrazeneca | oncology business manager - qld south,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/Australia--New-South-Wales/Oncology-Business-Manager---QLD-South_R-246808,AstraZeneca,Oncology Business Manager - QLD South,2026-03-11,2026-03-11
